Alt: 17596.31 m | T: 216.65 K | P: 8057.97 Pa | D: 0.13 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 295.04 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 18095.88 m | T: 216.65 K | P: 7450.71 Pa | D: 0.12 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 295.04 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 18602.63 m | T: 216.65 K | P: 6881.56 Pa | D: 0.11 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 295.04 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 19116.20 m | T: 216.65 K | P: 6349.17 Pa | D: 0.10 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 295.04 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 19636.71 m | T: 216.65 K | P: 5851.68 Pa | D: 0.09 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 295.04 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 20163.78 m | T: 216.75 K | P: 5389.04 Pa | D: 0.09 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 295.11 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 20697.53 m | T: 217.28 K | P: 4957.31 Pa | D: 0.08 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 295.47 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 21237.55 m | T: 217.82 K | P: 4556.71 Pa | D: 0.07 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 295.84 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 21783.96 m | T: 218.36 K | P: 4185.25 Pa | D: 0.07 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 296.21 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 22336.33 m | T: 218.91 K | P: 3841.39 Pa | D: 0.06 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 296.58 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 22894.77 m | T: 219.46 K | P: 3523.28 Pa | D: 0.06 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 296.95 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 23458.82 m | T: 220.02 K | P: 3229.48 Pa | D: 0.05 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 297.33 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 24028.60 m | T: 220.59 K | P: 2958.26 Pa | D: 0.05 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 297.71 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 24603.62 m | T: 221.16 K | P: 2708.30 Pa | D: 0.04 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 298.10 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 25183.99 m | T: 221.73 K | P: 2478.04 Pa | D: 0.04 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 298.49 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 25769.18 m | T: 222.32 K | P: 2266.24 Pa | D: 0.04 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 298.88 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 26359.33 m | T: 222.90 K | P: 2071.51 Pa | D: 0.03 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 299.27 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 26953.86 m | T: 223.49 K | P: 1892.72 Pa | D: 0.03 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 299.67 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 27552.90 m | T: 224.08 K | P: 1728.63 Pa | D: 0.03 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 300.06 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 28155.86 m | T: 224.68 K | P: 1578.23 Pa | D: 0.02 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 300.46 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 28762.86 m | T: 225.28 K | P: 1440.42 Pa | D: 0.02 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 300.86 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 29373.28 m | T: 225.89 K | P: 1314.31 Pa | D: 0.02 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 301.27 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 29987.24 m | T: 226.50 K | P: 1198.93 Pa | D: 0.02 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 301.67 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 30604.07 m | T: 227.11 K | P: 1093.49 Pa | D: 0.02 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 302.08 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 31223.91 m | T: 227.72 K | P: 997.14 Pa | D: 0.02 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 302.49 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 31846.05 m | T: 228.34 K | P: 909.22 Pa | D: 0.01 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 302.90 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 32470.62 m | T: 229.51 K | P: 829.28 Pa | D: 0.01 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 303.67 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 33096.90 m | T: 231.24 K | P: 756.43 Pa | D: 0.01 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 304.82 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 33724.99 m | T: 232.98 K | P: 690.29 Pa | D: 0.01 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 305.96 m/s | V_w: [0.00, 0.00, 0.00] m/s
